year,month,rain_mm,Kinneret_Level_end_of_month,tmp_air_max,tmp_air_min,rain_day,sns_drt,Date,Kinneret_Level_end_of_last_month,Change_from_last_month,tmp_air_max_binned,tmp_air_min_binned
1969,4,265.44007337451876,-208.78,21.816776026392965,10.448875448028673,17,530.0,1969-04-01,-208.8,0.020000000000010232,17-23,8-12
1969,5,33.35359337832456,-208.84,28.76718993112333,15.952812187632958,10,598.741935483871,1969-05-01,-208.78,-0.060000000000002274,28-31,12-16
1969,6,0.0,-208.83,32.25603830645161,19.378365962180194,0,722.4,1969-06-01,-208.84,0.009999999999990905,31-34,16-19
1969,7,0.0,-209.0,31.129406882796893,19.295484878017728,0,721.1612903225806,1969-07-01,-208.83,-0.1699999999999875,28-31,16-19
1969,8,0.0,-209.17,32.10517492826286,19.97086173257024,0,675.3870967741935,1969-08-01,-209.0,-0.1699999999999875,31-34,19-23
1969,9,57.32037037037037,-209.3,32.34759990132416,20.188367668621698,6,576.3,1969-09-01,-209.17,-0.13000000000002387,31-34,19-23
1969,10,614.0360073850429,-209.39,27.940249463942234,17.061854405133538,20,461.7096774193548,1969-10-01,-209.3,-0.08999999999997499,23-28,16-19
1969,11,612.2165534062849,-209.42,24.052818100358426,12.176589287921322,10,499.0,1969-11-01,-209.39,-0.030000000000001137,23-28,12-16
1969,12,800.1001258383494,-209.38,19.46357842209819,9.629900277488725,19,355.80645161290323,1969-12-01,-209.42,0.03999999999999204,17-23,8-12
1970,1,1871.5943727303916,-209.08,17.151684995112415,8.445738025415446,26,304.35483870967744,1970-01-01,-209.38,0.29999999999998295,11-17,8-12
1970,2,575.7377040472288,-209.2,18.782443062452256,7.792412703717852,14,458.57142857142856,1970-02-01,-209.08,-0.11999999999997613,17-23,3-8
