year,rain_mm,Kinneret_Level_end_of_year,KinneretInPrecent_end_of_year,sns_drt,rpr_hail,rpr_snow,rpr_frost,rpr_fog,rpr_thunder,rpr_lightening,rpr_sand_storm,rpr_gale,rain_day,tmp_air_max,tmp_air_min,Kinneret_Level_end_of_last_year,Change_from_last_year
1969,7428.055007770543,-209.5,0.8173515981735175,509.3068493150685,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,143,25.36439761531281,14.313136568626053,,
1970,6147.533676854028,-210.49,0.6666666666666666,538.8547945205479,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,133,25.41676027080877,13.764442017266148,-209.5,-0.9900000000000091
1971,8354.489679431043,-209.9,0.7564687975646885,513.4904109589041,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,151,24.723390849370105,13.566861261715122,-210.49,0.5900000000000034
1972,5851.021318203132,-210.88,0.6073059360730614,521.655737704918,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,142,24.856651430158394,13.322987584066869,-209.9,-0.9799999999999898
1973,5099.712334029209,-211.73,0.4779299847793026,555.3780821917808,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,117,25.352556597799598,13.3970157803113,-210.88,-0.8499999999999943
1974,8271.898554429408,-210.98,0.5920852359208553,528.4191780821918,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3135802469135802,131,24.9162377049707,13.670142261121724,-211.73,0.75
1975,6247.706432493789,-211.6,0.49771689497717103,558.2958904109589,0.48456790123456783,0.18421052631578946,0.4640522875816993,1.0,0.7313402889245587,0.6352657004830917,0.20512820512820512,0.35106382978723405,146,24.805653812134317,13.710118867569104,-210.98,-0.6200000000000045
1976,9220.629721193663,-210.99,0.5905631659056316,500.70542635658916,0.014807449794369902,0.004066799211638054,0.009242903834547102,0.11043832109945334,0.04906791407567227,0.02724869589461629,0.004178714396371785,0.004488582273159996,180,24.19121700835699,13.49003389654957,-211.6,0.6099999999999852
1977,7945.156781458733,-210.28,0.6986301369863026,530.4739726027398,0.015846142979618425,0.0019221398018300939,0.004759081498211933,0.0799247453794943,0.054535287069596344,0.02431407108925055,0.0013858743995730299,0.005537566369765986,142,24.765141418776146,13.601874083224866,-210.99,0.710000000000008
1978,5619.701815879845,-210.12,0.7229832572298334,540.3123287671233,0.013759714663824254,0.0009257865422248984,0.004903305777656276,0.07487837415711146,0.0473896412250132,0.020101159633105995,0.004514843887705403,0.007498935913338523,142,25.007476891307764,13.562696618796872,-210.28,0.1599999999999966
1979,6506.055455622408,-211.39,0.529680365296807,533.0191780821917,0.006924557391132325,0.0003382966051220965,0.0012159545697571204,0.06141817127448964,0.03700873522156716,0.018709250915880483,0.002319874944692672,0.0067872775675767195,152,25.285743976535137,14.3360939810953,-210.12,-1.2699999999999818
1980,6977.414176360788,-210.3,0.6955859969558597,522.5819672131148,0.016057289199365707,0.003490689760239411,0.006103700928481162,0.05236226650517449,0.04188925877073605,0.021142855015508853,0.005500243533030419,0.005738963212533574,137,24.648890619336548,13.753424760715928,-211.39,1.089999999999975
1981,7146.263166916823,-210.35,0.6879756468797588,523.771978021978,0.011206065395028608,0.002111275476660092,0.0032747756702606193,0.055652695966241165,0.036522412927095196,0.018449165104683498,0.0042052993767040595,0.0049903200528437375,155,24.8529602236794,13.802992490329533,-210.3,-0.04999999999998295
1982,6601.342049475094,-211.68,0.4855403348554035,500.15616438356165,0.012667172017976073,0.0032757593805836805,0.015995709670516108,0.049717132861391636,0.05788773723794569,0.03835280502701585,0.0018276988050662853,0.002100963977676306,151,24.285287738995997,13.00474657148267,-210.35,-1.3300000000000125
1983,7054.0208668156265,-210.66,0.6407914764079167,483.94438356164403,0.016665153507697626,0.006837454782660259,0.012632921950323027,0.056950234341592104,0.05099111754153911,0.03337225434043714,0.0024662080237140573,0.004274601096518904,148,23.76946521541947,12.867641810584828,-211.68,1.0200000000000102
1984,5893.569120449528,-210.91,0.6027397260273991,534.9754098360655,0.017570089291400765,0.0004203446826397646,0.013102971709529081,0.09205269533138385,0.07539900900556636,0.040682086583725914,0.0023889589463359957,0.005348886086591006,129,24.662538681718992,12.90279324045717,-210.66,-0.25
1985,5344.418036514959,-211.83,0.4627092846270921,514.4082191780822,0.014239550403933968,0.0018264840182648403,0.015006135417094318,0.10735948982524317,0.04664207938180539,0.03178784685633999,0.0016859852476290833,0.0017123287671232876,117,25.207997390737116,13.437655577299417,-210.91,-0.9200000000000159
1986,8129.943823390832,-211.73,0.4779299847793026,537.6986301369863,0.015627203846381933,0.0009669621273166801,0.008440050414264762,0.16150028814412393,0.07594864263679733,0.03970865467239358,0.0008279391841035678,0.005482645208672604,143,24.474832983950616,13.045119205480809,-211.83,0.10000000000002274
1987,6575.946923852714,-210.64,0.6438356164383596,528.7972602739726,0.017791523544948205,0.0030306804843468825,0.006076571829996487,0.19480677617663938,0.052759782074850554,0.0239931957812275,0.0,0.004531085353003161,124,24.351944164063113,12.950900745013215,-211.73,1.0900000000000034
1988,7132.292044537841,-210.33,0.6910197869101974,515.9016393442623,0.017301035333822216,0.003383156541305046,0.00775399463924054,0.24082856275479222,0.06024021994686361,0.02433654927183831,0.0013716398962300602,0.009457755359394705,154,24.314771695323714,13.307511749714747,-210.64,0.30999999999997385
1989,5237.360879552233,-212.25,0.39878234398782453,557.4246575342465,0.008105714681057146,0.0029638854296388543,0.027220146672201444,0.22223961730811045,0.0470790092707901,0.02265324477653245,0.0010273972602739725,0.0028864970645792565,118,24.58923785289168,12.783805433035974,-210.33,-1.9199999999999875
1990,4919.122653810832,-212.93,0.2952815829528158,545.7534246575342,0.010505544683626874,0.0035388127853881275,0.018137638617090668,0.2167482061317678,0.055763962065331935,0.030949119373776902,0.0010045662100456622,0.009133986928104574,117,24.639211567732122,13.158763292195042,-212.25,-0.6800000000000068
1991,9843.469659143331,-212.19,0.4079147640791491,512.4082191780822,0.01735545276641167,0.002027614698847576,0.003424657534246575,0.13548538219771095,0.08066585621380142,0.021953685583822578,0.0,0.0054772137165368445,141,24.068996960572253,13.49440435698433,-212.93,0.7400000000000091
